"brand","model","image_status","product_page","source_image","workbook_advantage"
"Kiprun","Kipride Max Wide","official-image-pending","","","Breite Passform, maximale Komfort — SS 2027"
"Kiprun","Kipnext","verified-image","https://www.decathlon.de/p/laufschuhe-strasse-herren-kipnext-beige/353380/c179c183m8913928","https://contents.mediadecathlon.com/p3072415/k%242cb17887f3df70dd53b6b0bdff097918/picture.jpg?format=auto&f=1920x0","Nachhaltigkeit, vielseitig"
"Asics","Gel Windhawk 5","verified-image","https://www.decathlon.de/p/laufschuhe-herren-asics-gel-windhawk-schwarz-blau/361394/c1c5m9001312","https://contents.mediadecathlon.com/p3079680/k%2429c298936bc20783803c7add0b877927/picture.jpg?f=3000x0&format=auto","GEL-Dämpfung, komfortabler Alltag"
"Asics","Gel Ziruss 9","verified-image","https://www.decathlon.de/p/laufschuhe-damen-asics-gel-ziruss-aprikosenfarben-lila/379467/m8995129","https://contents.mediadecathlon.com/p3079942/k%24fc9c2364345ae8c248178aab6507cd27/picture.jpg?f=3000x0&format=auto","PureGEL, FF BLAST PLUS und HYBRID ASICSGRIP"
"Asics","Gel Stratus 5","verified-image","https://www.decathlon.it/p/scarpe-running-uomo-asics-gel-stratus-5/380554/m9030440","https://contents.mediadecathlon.com/p3171653/k%24e66fbb9e31aa1610b5c748ef683bb29c/picture.jpg?f=3000x0&format=auto","Komfort & Propulsion, Decathlon-exklusiv"
"Asics","Gel Pulse 17","verified-image","https://www.decathlon.de/p/mp/running-schuhe-asics-gel-pulse-17-erwachsene/fa87af36-7fdc-466c-bde6-2eb982e82c0a/c5","https://contents.mediadecathlon.com/m27118056/k$28b6f9dc9ff7ef2367f79d6537bd93b6/picture.jpg?format=auto&f=1920x0","FF Blast + GEL, ausgewogen für mittlere Distanzen"
"Asics","Gel Nimbus 28","verified-image","https://www.decathlon.de/p/mp/herren-laufschuh-gel-nimbus-28/0a18c211-e167-4553-b254-bb1c35cefb8a/c10c255","https://contents.mediadecathlon.com/m34363310/k$feea2191cc1a15b8cdd2563c7ac74561/picture.jpg?format=auto&f=1920x0","Maximale Dämpfung mit PureGEL, leichter als Vorgänger"
"Asics","Novablast 5","verified-image","https://www.decathlon.de/p/mp/herren-laufschuh-novablast-5/1a789de4-2b5f-4e64-b9a3-ea3019c87410/c189","https://contents.mediadecathlon.com/m34383519/k$10e9fd27fe3485c2a84cf0bd953d11b2/picture.jpg?format=auto&f=1920x0","Leicht, bouncy, FF Blast Max – sehr vielseitig"
"Asics","Dynablast 5","verified-image","https://www.decathlon.de/p/mp/herren-laufschuh-dynablast-5/d405bb5a-0a1d-45f8-aa31-19eb9b053869/c8","https://contents.mediadecathlon.com/m34549504/k$4fad070ecbaa75882a481f771cbd24a4/picture.jpg?format=auto&f=3000x0","Leicht, dynamisch, energiereich"
"Hoka","Clifton 10","verified-image","https://www.decathlon.co.uk/p/women-s-trail-running-shoes-hoka-clifton-10-blue-and-yellow/381708/m9002893","https://contents.mediadecathlon.com/p3077866/k$3c20c1ba5964cad7de732dca45d9e8ce/picture.jpg?format=auto&f=1920x0","Maximale Dämpfung, weicher als Vorgänger"
"Hoka","Rincon 4","verified-image","https://www.decathlon.de/p/laufschuhe-herren-hoka-rincon-4-weiss-rot/369686/m9002755","https://contents.mediadecathlon.com/p3077436/k%244352ce1b411b1bf7a006b0cdf6d4189e/picture.jpg?f=3000x0&format=auto","Leicht, schnell, bestes Preis-Leistungs-Verhältnis"
"Adidas","Supernova Rise 3","verified-image","https://www.decathlon.de/p/laufschuhe-damen-adidas-supernova-rise-3-weiss-rosa/381630/c4c24m9002353","https://contents.mediadecathlon.com/p3077556/k$341f89a232a092d0ad3820187181fa29/picture.jpg?format=auto&f=1920x0","Dreamstrike+, breite Basis, stabil"
"Adidas","Adistar 5","verified-image","https://www.decathlon.de/p/laufschuhe-strasse-herren-adidas-adistar-5-weiss-beige-orange/386393/c4c30c20m9026814","https://contents.mediadecathlon.com/p3192488/k%2422761f551b4e7423bf931282ed1e05a4/picture.jpg?format=auto&f=1920x0","Maximale Dämpfung, Dreamstrike-Schaum, Rocker"
"Brooks","Ghost 18","verified-image","https://www.decathlon.de/p/mp/laufschuhe-herren-ghost-18-weiss-schwarz-hellblau/2427ca19-ec33-4d44-a9c3-99c5be534375/c4c1c6","https://contents.mediadecathlon.com/m34060769/k$9bdcb237bfa207d6d17cd2e792185eda/picture.jpg?format=auto&f=3000x0","DNA LOFT v3, balanced daily trainer"
"Brooks","Ghost Max 4","verified-image","https://www.decathlon.de/p/mp/laufschuhe-damen-ghost-max-4-weiss-rosa-beige/b6b7cf2d-a73e-41b0-9ec5-c382f6c95223/c4c24c30","https://contents.mediadecathlon.com/m34058327/k$f0a68f069f03dbd8bf96b2f8cc87fae7/picture.jpg?format=auto&f=3000x0","Max cushioning, GlideRoll Rocker, broad base"
"Brooks","Ghost 17","verified-image","https://www.decathlon.de/p/mp/herren-laufschuh-ghost-17/8ec73b50-c015-4dd4-9019-335c569c4de7/c251c255","https://contents.mediadecathlon.com/m34293034/k$0ac0f5d9bb555d91177d2fe954c23f97/picture.jpg?format=auto&f=3000x0","Klassiker, DNA Loft v3, weich & reaktiv"
"Brooks","Ghost Max 3","verified-image","https://www.decathlon.de/p/mp/damen-lauf-schuhe-brooks-ghost-max-3/3746fc05-ac8b-4145-b10f-6c2d95f4f902/c1","https://contents.mediadecathlon.com/m24585744/k$038d0e6468f89fcb14b82b6f858e7f23/picture.jpg?format=auto&f=3000x0","Maximale Dämpfung, hoher Stack, weiche Landung"
"Brooks","Revel Max","verified-image","https://www.decathlon.de/p/laufschuhe-herren-brooks-revel-max-blau/381120/m9029594","https://contents.mediadecathlon.com/p3172369/k$03a2c025423d43f59f1e8b604333402c/picture.jpg?format=auto&f=1920x0","Max-Dämpfung, leichter als Ghost Max"
"Brooks","Glycerin 23","verified-image","https://www.decathlon.de/p/mp/laufschuhe-herren-glycerin-23-weiss-hellblau-grau/33469114-7dba-4f64-b0cd-927b9054cd1a/c4c6c251","https://contents.mediadecathlon.com/m34061988/k$1a6aae87c5ccbc6232a99a01a79768b5/picture.jpg?format=auto&f=3000x0","Premium-Dämpfung, DNA TUNED, luxuriöser Komfort"
"Mizuno","Wave Rider 29","verified-image","https://www.decathlon.de/p/laufschuhe-herren-mizuno-wave-rider-29/373589/m8970651","https://contents.mediadecathlon.com/p3077507/k$df5440b81f99b6aabe1432dc1762f924/picture.jpg?format=auto&f=1920x0","Enerzy + Wave-Platte, reaktiv & ausgewogen"
"Mizuno","Wave Ultima 17","verified-image","https://www.decathlon.de/p/mp/mizuno-herren-laufschuh-wave-ultima-17-j1gc2618/61ce20e9-3b82-490d-a4d9-ff80f86f065c/c5","https://contents.mediadecathlon.com/m33571016/k$64e8d72981c0908e663c7bf0778d91fd/picture.jpg?format=auto&f=1920x0","Maximale Dämpfung, hoher Enerzy-Stack, ultra-weich"
"Mizuno","Wave Impulse","verified-image","https://www.decathlon.co.uk/p/women-s-mizuno-wave-impulse-firm-road-and-trail-running-shoes-mauve/365870/c16m8944005","https://contents.mediadecathlon.com/p2821823/k$f9d7737318fb27518d4969baf9e69179/picture.jpg?format=auto&f=3000x0","Leicht, dynamisch, Wave-Platte, Tempo-Training"
"Puma","Velocity Nitro 4","verified-image","https://www.decathlon.de/p/mp/velocity-nitro-4-laufschuhe-herren-puma/d525f277-2c34-41b1-937f-9793947a566a/c78c9","https://contents.mediadecathlon.com/m34466383/k$d421b17faec2d80a57c7734852e22b4a/picture.jpg?format=auto&f=3000x0","NITRO-Schaum, leicht & reaktiv, gutes Preis-Leistungs-Verhältnis"
"Saucony","Ride 19","verified-image","https://www.decathlon.de/p/laufschuhe-herren-saucony-ride-19-orange-weiss/381005/c20c22c4m9000219","https://contents.mediadecathlon.com/p3077537/k%24e71c74181ff91408b35df04803af0890/picture.jpg?f=3000x0&format=auto","PWRRUN, ausgewogene Dämpfung, vielseitig"
"New Balance","1080 v15","verified-image","https://www.decathlon.de/p/laufschuhe-herren-new-balance-infinion-1080-v15-grau/380846/m8999961","https://contents.mediadecathlon.com/p3171755/k$e82496fc05166b3283e223d09ab9ec5c/picture.jpg?format=auto&f=1920x0","Infinion-Schaum (neu), leichter & reaktiver als Vorgänger"
"New Balance","More v6","verified-image","https://www.decathlon.de/p/laufschuhe-herren-new-balance-fresh-foam-x-more-v6-grau/372907/c251m9030746","https://contents.mediadecathlon.com/p3171705/k$1c932b48633e26ed4c2d87e059c366f1/picture.jpg?format=auto&f=1920x0","Maximaler Stack (44/40mm), extremste Dämpfung im NB-Lineup"
"New Balance","Ellipse","verified-image","https://www.decathlon.de/p/laufschuhe-herren-new-balance-fresh-foam-x-ellipse-beige/380844/m9030755","https://contents.mediadecathlon.com/p3171565/k$5c398ffc88bc738d8442e2da0e956fc7/picture.jpg?format=auto&f=1920x0","Fresh Foam X, stylish & alltagstauglich, neu 2026"
"New Balance","Kaiha v2","verified-image","https://www.decathlon.de/p/laufschuhe-herren-new-balance-fresh-foam-x-kaiha-v2-grau/380864/m8999965","https://contents.mediadecathlon.com/p3077413/k$fbce33d2e8b7314beafb4e048ce7ce14/picture.jpg?format=auto&f=1920x0","Fresh Foam X, hohe Dämpfung, niedriger Drop, Budget"
"New Balance","840 v1","verified-image","https://www.decathlon.co.uk/p/men-s-new-balance-840-running-shoes/362117/c2m8933543","https://contents.mediadecathlon.com/p2799200/k$992ed5311f488f355f105f176b5d8648/picture.jpg?format=auto&f=1920x0","Fresh Foam X, 35mm Stack, Komfort & Alltag"
"New Balance","FuelCell Rebel v5","verified-image","https://www.decathlon.de/p/laufschuhe-herren-new-balance-fuelcell-rebel-v5-gelb/372784/m9030750","https://contents.mediadecathlon.com/p3171821/k%24bbd1c32b7d7b849afe9169140938e645/picture.jpg?f=3000x0&format=auto:","PEBA-Blend FuelCell, leicht, reaktiv, vielseitiger Alltags-/Temposchuh"
"Kiprun","Kipride Support","official-image-pending","","","Pronationskontrolle im Kipride-System"
"Asics","Gel Superion 8","verified-image","https://www.decathlon.de/p/laufschuhe-herren-asics-gel-superion-8-turkis-grun/372789/c1m8999636","https://contents.mediadecathlon.com/p3079658/k%24f1b70e6c775e0647943c9b820cb0b1a4/picture.jpg?f=3000x0&format=auto:","4D Guidance, adaptiver Support, leicht"
"Asics","GT-2000 13","verified-image","https://www.decathlon.de/p/mp/damen-lauf-gt-2000-13/159548fe-29c2-4080-ae74-6f0b7a43942b/c1","https://contents.mediadecathlon.com/m18142676/k%24d75e220fc6b61926fcc1bb86c4a550fa/picture.jpg?f=3000x0&format=auto","3D Guidance, leichter als Kayano, responsive"
"Asics","Gel Kayano 32","verified-image","https://www.decathlon.de/p/mp/gel-kayano-32-turnschuhe/dcaa3e25-52c8-4b43-ab0d-e9b8d8bbc46f/c255","https://contents.mediadecathlon.com/m23054668/k%248d6a210362b507fb25713f51de3df798/picture.jpg?format=auto&f=1920x0","Maximale Stabilität, 4D Guidance, hohe Dämpfung"
"Asics","Gel Kayano 33","verified-image","https://www.decathlon.de/p/mp/asics-laufschuhe-gel-kayano-33-erwachsene/fcd91655-12a3-4705-84cb-ff9be7b03c4d/c251","https://contents.mediadecathlon.com/m36213955/k%2477c0c86454675c70a1ef56a945fb67a3/picture.jpg?format=auto&f=1920x0","Adaptive Stabilität, FLUIDSUPPORT, zweilagige Dämpfung"
"Asics","Gel Roadmiles 4","verified-image","https://www.decathlon.de/p/laufschuhe-damen-gel-roadmiles-4/386750/m9030408","https://contents.mediadecathlon.com/p3171561/k%24fe90aa52eea06ff65294d457ac49a5d1/picture.jpg?f=3000x0&format=auto","Leichter Support, PureGEL, Decathlon-exklusiv"
"Brooks","Adrenaline GTS 25","verified-image","https://www.decathlon.co.uk/p/second-life-brooks-adrenaline-gts-25-men-s-running-shoes-grey-and-green/381028-N/m9000482-N","https://contents.mediadecathlon.com/p3079904/k$1da7acba9f556ae8504b7f60c2982dc4/picture.jpg?format=auto&f=1920x0","GuideRails-System, DNA LOFT v2, sanfte Führung"
"Saucony","Guide 19","verified-image","https://www.decathlon.de/p/laufschuhe-herren-saucony-guide-19/380919/m9000222","https://contents.mediadecathlon.com/p3077377/k%2402e8b01362b1993578710830a871db31/picture.jpg?f=3000x0&format=auto","PWRRUN+, mediale Post, ausgewogene Stabilität"
"Kiprun","Kipstorm Tempo","verified-image","https://www.decathlon.de/p/laufschuhe-strasse-herren-kipstorm-tempo-grun-gelb/362245/c266c132m9001574","https://contents.mediadecathlon.com/p3030684/k%242256472e64ad47b869de9098eb838c2f/picture.jpg?f=3000x0&format=auto","Maximale Dämpfung, Supershoe-Allrounder — SS 2026"
"Kiprun","Kipstorm Interval","verified-image","https://www.decathlon.de/p/laufschuhe-strasse-herren-kipstorm-interval-weiss-rot/339603/c227c125m8961337","https://contents.mediadecathlon.com/p3038721/k%24b86434c1d39bcbd0cdf4e43218607663/picture.jpg?f=3000x0&format=auto","Niedriger Stack, schnelle Intervalle — AW 2026"
"Kiprun","Kipstorm Challenger","verified-image","https://www.decathlon.de/p/laufschuhe-herren-carbon-platte-kipstorm-challenger-weiss-schwarz/358423/c227c382m8963782","https://contents.mediadecathlon.com/p3038719/k%240af52019b4d14d779fbbd4c2f844352d/men-s-kiprun-kd900x2-running-shoes-light-green-purple.jpg","Carbonplatte, Marathon-optimiert — SS 2026"
"Kiprun","Kipstorm Pro","verified-image","https://www.decathlon.de/p/laufschuhe-herren-mit-carbon-platte-kd900x-ld2-orange-gruen/_/R-p-360707","https://www.bfgcdn.com/1500_1500_90/023-2820/kiprun-kipstorm-pro-running-shoes-detail-2.jpg","Carbonplatte, leichter, Halbmarathon — AW 2026"
"Kiprun","Kipstorm Elite","verified-image","https://www.decathlon.de/p/laufschuhe-herren-carbon-platte-kipstorm-elite-hellgelb/362113/c269c382m8961381","https://contents.mediadecathlon.com/p3039130/k%24a9108581efb940d3901787f9fedfef94/picture.jpg","Carbonplatte, Komfort & Speed, Marathon — SS 2026"
"Kiprun","Kipstorm Lab","verified-image","https://www.decathlon.de/p/laufschuhe-herren-strasse-carbon-platte-kipstorm-lab/369831/c140m8953316","https://contents.mediadecathlon.com/p2949890/k%24947433da3186755d77784898081cf776/picture.jpg?f=3000x0&format=auto","Ultraleicht, Carbonplatte, Race-Day"
"Adidas","Adizero Boston 13","verified-image","https://www.decathlon.de/p/laufschuhe-herren-leicht-dynamisch-adidas-adizero-boston-13-gelb/372901/c22m8999870","https://contents.mediadecathlon.com/p3079823/k$a752ee46131919b800a2e93710a0ed21/picture.jpg?format=auto&f=1920x0","EnergyRods 2.0, Lightstrike Pro – Super-Trainer"
"Adidas","Adizero Evo SL","verified-image","https://www.decathlon.de/p/laufschuhe-herren-leicht-adidas-adizero-evo-sl-beige-schwarz/372979/c30c27m9026813","https://contents.mediadecathlon.com/p3167589/k%2458cfcfd7485f01800ddc0af9ca014642/picture.jpg?f=3000x0&format=auto","Volle Lightstrike Pro Sohle, bestes Preis-Leistungs-Verhältnis"
"Brooks","Hyperion 3","verified-image","https://www.decathlon.de/p/mp/herren-lauf-schuhe-brooks-hyperion-3/67d902ce-5325-4606-8aa5-3bc109d4db0a/c6","https://contents.mediadecathlon.com/m24095426/k$b0fd073c63c4f74f4cd2a1676e30cb97/picture.jpg?format=auto&f=3000x0","Leicht, reaktiv, BioMoGo DNA – Tempo & Race"
"Mizuno","Neo Zen 2","verified-image","https://www.decathlon.de/p/laufschuhe-herren-mizuno-neo-zen-2-weiss-blau/381104/m9000528","https://contents.mediadecathlon.com/p3077551/k$b6fae6169130c0b133b2d64bde80beb9/picture.jpg?format=auto&f=1920x0","Carbonplatte, ENERZY CORE+, maximale Energierückgabe"
"Mizuno","Neo Cosmo","verified-image","https://www.decathlon.de/p/laufschuhe-herren-mizuno-neo-cosmo/X9010160/m9010160","https://contents.mediadecathlon.com/p3043948/k$7e9638d144a6c288c7079da7cc5897a8/picture.jpg?format=auto&f=1920x0","Carbonplatte, leichter als Neo Zen, Race-Day"
"Puma","Deviate Nitro 4","verified-image","https://www.decathlon.de/p/laufschuhe-herren-hyrox-puma-deviate-nitro-4-rot/380836/m9026894","https://contents.mediadecathlon.com/p3171435/k$3c63dd68df2bb021b2dfeb37db2f0e47/picture.jpg?format=auto&f=3000x0","NITROFOAM + Carbonplatte, reaktiv & leicht"
"New Balance","FuelCell Propel v5","verified-image","https://www.decathlon.co.uk/p/men-s-running-shoes-new-balance-fuelcell-propel-v5-grey/357868/c2m8968035","https://contents.mediadecathlon.com/m26479894/k$ba7da04f4f5564c8837cd5469f3b1f03/picture.jpg?format=auto&f=3000x0","FuelCell, bouncy & reaktiv, bestes Preis-Leistungs-Verhältnis im NB-Lineup"
"Kiprun","Kipcore Gravel","verified-image","https://www.decathlon.de/p/laufschuhe-strasse-wege-herren-kipcore-gravel-beige-orange/362150/c279c296c342m8990702","https://contents.mediadecathlon.com/p3159256/k%24721b56919cb7acbf4c2dab6b87e153e1/picture.jpg?f=3000x0&format=auto","Haftung, Alltags-Trail — AW 2026"
"Kiprun","Kipcore WR","verified-image","https://www.decathlon.de/p/laufschuhe-herren-vielseitig-wasserabweisend-500-wr-schwarz/353371/c382c383m8873083","https://contents.mediadecathlon.com/p2947087/k%24affeb4c9834dc974360e48e49e93e690/picture.jpg","Wasserabweisend, Haftung, Reflektoren — AW 2026"
"Kiprun","Kipride Gravel","verified-image","https://www.decathlon.de/p/laufschuhe-strasse-wege-herren-kipride-gravel-schwarz-grau/365827/c383c382c169m9019968","https://contents.mediadecathlon.com/p3159351/k%24286729c049363f37a3171bde11686351/picture.jpg","Wasserabweisend, gemischtes Gelände — AW 2026"
"Kiprun","Kipride WR","official-image-pending","","","Wasserabweisend, Reflektoren — AW 2026"
"Kiprun","Kipsummit","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-kipsummit-grau-orange/361994/c71m8932900","https://contents.mediadecathlon.com/p3039011/k%24cd9750ed5f34d7a56d8d4aaf8a76ad45/picture.jpg?f=3000x0&format=auto","4mm Stollen, abriebfest — SS 2026"
"Kiprun","Kipsummit WP","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-kipsummit-waterproof-schwarz/362177/c382m8933575","https://contents.mediadecathlon.com/p3039072/k%24555a681601c3cb36f97cb1861182bf90/picture.jpg?f=3000x0&format=auto","Wasserfest, 4mm Stollen — AW 2026"
"Kiprun","Kipsummit Max","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-kipsummit-max-schwarz-grau/362206/c208c382m8933583","https://contents.mediadecathlon.com/p3024543/k%247a2174a1827f8b289d1a01db842b9ec8/picture.jpg?format=auto&f=1920x0","Vibram, maximale Komfort, Ultradistanz — SS 2026"
"Kiprun","Kipclimb","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-kipclimb-schwarz/366862/c382c71m9001242","https://contents.mediadecathlon.com/p3159302/k%24215c7210274beea22fda24ea5581115a/kiprun-kipclimb-men-s-trail-running-shoe-black-kiprun-9001242.jpg","5mm Stollen, Zehenschutz, Steinschutz — SS 2026"
"Kiprun","Kipclimb WP","official-image-pending","","","Wasserfest, technisch"
"Kiprun","Kipclimb Max","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-kipclimb-max-beige/366852/c370m9001260","https://contents.mediadecathlon.com/p3159281/k%240b4deba4013ab93cea087e70dea3d07b/kiprun-kipclimb-max-men-s-trail-running-shoes-beige-kiprun-9001260.jpg","MATRYX, maximale Dämpfung, technisch — AW 2026"
"Hoka","Torrent 4","verified-image","https://www.decathlon.de/p/trailrunningschuhe-damen-hoka-torrent-4-lila-grun/361366/c16c9m9004592","https://contents.mediadecathlon.com/p3077851/k%24bafe8992c4ce9e039dab8f394d808d80/picture.jpg?f=3000x0&format=auto","Leicht, agil, Trail-Allrounder"
"Hoka","Speedgoat 7","verified-image","https://www.decathlon.de/p/trailrunningschuhe-damen-hoka-speedgoat-7-lila-weiss/382212/m9004597","https://contents.mediadecathlon.com/p3077903/k%24d254c0f30befa542144b36c9b016f25b/picture.jpg?f=3000x0&format=auto","Maximale Dämpfung & Grip, Vibram-Sohle"
"Asics","Gel Kanaku 6","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-asics-gel-kanaku-6-blau-grau/364874/m9029775","https://contents.mediadecathlon.com/p3171458/k%24c6f932551e0439cd7db94a961993b053/picture.jpg?format=auto&f=1920x0","AMPLIFOAM, GEL, 3.5 mm lugs"
"Asics","Gel Sonoma 8 GTX","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-asics-gel-sonoma-8-gtx-schwarz/365812/c1m8943728","https://contents.mediadecathlon.com/p2821803/k%24e463a704a8097d47633317d366864d40/picture.jpg?format=auto&f=1920x0","GORE-TEX, AMPLIFOAM+, GEL"
"Asics","Trabuco 14","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-asics-trabuco-14-schwarz-khaki/381851/m9029773","https://contents.mediadecathlon.com/p3171350/k%24c7337cd197de85f458960408347c2d73/picture.jpg?f=3000x0&format=auto:","ASICSGRIP, Steinschutzplatte, ultratauglich"
"Asics","Trabuco Terra 3","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-asics-trabuco-terra-3/386569/m9029774","https://contents.mediadecathlon.com/p3171249/k%243e9cadc39718bf1b559e5f91a2dc27f4/picture.jpg?format=auto&f=1920x0","Technische Trails, aggressiver Grip"
"Adidas","Terrex Agravic 4","verified-image","https://www.decathlon.de/p/mp/terrex-agravic-4-trail-running-schuh/4004efcc-0ff3-4b96-8505-3c0cdce2bf23/c1c193c4","https://contents.mediadecathlon.com/m27963806/k$5e4ce3631a751dc87dc2da52d9bb5d1e/picture.jpg?format=auto&f=1920x0","Trail-Allrounder, Lightstrike 3, breiter Einsatz"
"Salomon","Supraglide","verified-image","https://www.decathlon.de/p/trailrunningschuhe-damen-salomon-supraglide-lila/382292/c16m9004990","https://contents.mediadecathlon.com/p3077880/k%241de936a8447223a7f82d69bd35d52600/picture.jpg?f=3000x0&format=auto","Decathlon-exklusiv, leicht, einfacher Traileinsteiger"
"Salomon","Ultra Flow 2","verified-image","https://www.decathlon.de/p/trailrunningschuhe-salomon-ultra-flow-2-schwarz-weiss/382334/m9005060","https://contents.mediadecathlon.com/p3077788/k$8de259cac84853f08a12b2dbb770f594/picture.jpg?format=auto&f=1920x0","SensiFit, aggressiver Grip, vielseitiger Allrounder"
"Salomon","Aero Blaze 3 Grvl","verified-image","https://www.decathlon.de/p/laufschuhe-gravel-running-herren-salomon-aero-blaze-3-grvl-weiss/382331/m9005033","https://contents.mediadecathlon.com/p3112169/k$adf0c41c571004f21a9165139f62129a/picture.jpg?format=auto&f=1920x0","Leicht, agil, Gravel & Trail, schnell"
"Salomon","Genesis","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-salomon-genesis-schwarz-grau/358451/c1c2m8944379","https://contents.mediadecathlon.com/p2954168/k%240e796f691ee0c0b99fecaf7815551613/picture.jpg?f=3000x0&format=auto","Trail-Allrounder, maximale Dämpfung, Ultradistanz"
"Salomon","Ultra Glide 4","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-salomon-ultra-glide-4-rot/382288/c14m9005048","https://contents.mediadecathlon.com/p3077681/k$c0c21886198f19d1eb800b81dcc7e260/picture.jpg?format=auto&f=1920x0","Maximale Komfort & Dämpfung, Langstrecke Trail"
"Brooks","Range","verified-image","https://www.decathlon.de/p/trailrunningschuhe-herren-brooks-range/386592/m9029769","https://contents.mediadecathlon.com/p3171187/k$5740e65f265d981b3e6dbe0cd2a0dc2e/picture.jpg?format=auto&f=3000x0","Trail Adapt System, DNA LOFT v3, 4.5 mm lugs"
