"brand","model","primary_category","secondary_category","surface","stability","drop","technologies","best_for_en","best_for_de","best_for_fr","display_image"
"KIPRUN","Kipcore","DAILY TRAINER","Neutral","Road","Neutral","8 mm","MFOAM | Flexible mesh | Rubber/EVA outsole","Beginner & recreational · daily road runs · 1–10 km","Anfänger & Freizeit · tägliche Straßenläufe · 1–10 km","Débutant et loisir · sorties route quotidiennes · 1–10 km","assets/shoes/kiprun--kipcore.webp"
"KIPRUN","Kipcore Premium","DAILY TRAINER","FAST TRAINING","Road","Neutral","8 mm","SOFTECH | Dynamic sockliner | Rubber/EVA outsole","Beginner & recreational · daily runs · easy through steady pace","Anfänger & Freizeit · tägliche Läufe · lockeres bis zügiges Tempo","Débutant et loisir · sorties quotidiennes · allure facile à soutenue","assets/shoes/kiprun--kipcore-premium.webp"
"ASICS","Gel Ziruss 9","MAX CUSHION","DAILY TRAINER","Road","Neutral","8 mm","FF BLAST PLUS | PureGEL | HYBRID ASICSGRIP","All levels · comfortable daily road runs · 1 km to marathon","Alle Levels · komfortable tägliche Straßenläufe · 1 km bis Marathon","Tous niveaux · sorties route quotidiennes confortables · 1 km au marathon","assets/shoes/asics--gel-ziruss-9.webp"
"ASICS","Gel Stratus 5","DAILY TRAINER","Neutral","Road","Neutral","8 mm","FF BLAST PLUS | PureGEL | FluidRide outsole","All levels · daily road running · 10 km to marathon","Alle Levels · tägliche Straßenläufe · 10 km bis Marathon","Tous niveaux · course quotidienne sur route · 10 km au marathon","assets/shoes/asics--gel-stratus-5.webp"
"ASICS","Gel Pulse 17","DAILY TRAINER","Neutral","Road","Neutral","8 mm","FF BLAST | GEL technology | Engineered mesh","All levels · daily road running · easy to middle distances","Alle Levels · tägliche Straßenläufe · lockere bis mittlere Distanzen","Tous niveaux · course quotidienne · distances faciles à moyennes","assets/shoes/asics--gel-pulse-17.webp"
"ASICS","Novablast 5","DAILY TRAINER","FAST TRAINING","Road","Neutral","8 mm","FF BLAST MAX | Trampoline outsole | Tongue wing fit","Recreational & competitive · daily runs · tempo to long runs","Freizeit- & Wettkampfläufer · tägliche Läufe · Tempo bis lange Läufe","Loisir et compétition · sorties quotidiennes · tempo aux sorties longues","assets/shoes/asics--novablast-5.webp"
"ASICS","Dynablast 5","DAILY TRAINER","FAST TRAINING","Road","Neutral","8 mm","FF BLAST PLUS | Trampoline pod | Jacquard mesh","Advanced runners · dynamic daily runs · tempo and fitness","Fortgeschrittene · dynamische tägliche Läufe · Tempo und Fitness","Coureurs confirmés · sorties dynamiques · tempo et fitness","assets/shoes/asics--dynablast-5.webp"
"HOKA","Clifton 10","MAX CUSHION","DAILY TRAINER","Road","Neutral","8 mm","CMEVA | Smooth MetaRocker | Active Foot Frame","All levels · comfortable daily road runs · long runs","Alle Levels · komfortable tägliche Straßenläufe · lange Läufe","Tous niveaux · sorties route quotidiennes confortables · sorties longues","assets/shoes/hoka--clifton-10.webp"
"HOKA","Rincon 4","DAILY TRAINER","FAST TRAINING","Road","Neutral","5 mm","Two-layer midsole | Smooth MetaRocker | Active Foot Frame","Recreational & competitive · daily runs · tempo to half marathon","Freizeit- & Wettkampfläufer · tägliche Läufe · Tempo bis Halbmarathon","Loisir et compétition · sorties quotidiennes · tempo au semi-marathon","assets/shoes/hoka--rincon-4.webp"
"ADIDAS","Supernova Rise 3","DAILY TRAINER","Support","Road","Neutral","7 mm","Dreamstrike+ | Primeweave upper | Lighttraxion","All levels · daily road running · easy to long runs","Alle Levels · tägliche Straßenläufe · lockere bis lange Läufe","Tous niveaux · course quotidienne sur route · sorties faciles à longues","assets/shoes/adidas--supernova-rise-3.webp"
"BROOKS","Ghost 17","DAILY TRAINER","Neutral","Road","Neutral","10 mm","DNA LOFT v3 | Double-jacquard air mesh | RoadTack rubber","All levels · daily road runs · easy through long runs","Alle Levels · tägliche Straßenläufe · lockere bis lange Läufe","Tous niveaux · sorties route quotidiennes · footings aux sorties longues","assets/shoes/brooks--ghost-17.webp"
"BROOKS","Ghost 18","DAILY TRAINER","Neutral","Road","Neutral","10 mm","DNA LOFT v3 | Two-colour air mesh | Flat-knit tongue","All levels · daily road runs · running and walking","Alle Levels · tägliche Straßenläufe · Laufen und Walking","Tous niveaux · sorties route quotidiennes · course et marche","assets/shoes/brooks--ghost-18.webp"
"BROOKS","Revel 9","DAILY TRAINER","Neutral","Road","Neutral","8 mm","DNA LOFT v2 | Air mesh | Road rubber","All levels · daily runs · workouts and everyday wear","Alle Levels · tägliche Läufe · Workouts und Alltag","Tous niveaux · sorties quotidiennes · entraînement et usage quotidien","assets/shoes/brooks--revel-9.webp"
"BROOKS","Revel Max","MAX CUSHION","DAILY TRAINER","Road","Neutral","6 mm","DNA LOFT v2 | GlideRoll Rocker | Warp-knit upper","All levels · comfortable daily runs · walking","Alle Levels · komfortable tägliche Läufe · Walking","Tous niveaux · sorties quotidiennes confortables · marche","assets/shoes/brooks--revel-max.webp"
"MIZUNO","Wave Rider 29","DAILY TRAINER","NEUTRAL","Road","Neutral","10 mm","Nitrogen-infused MIZUNO ENERZY NXT | MIZUNO WAVE | X10 rubber","All levels · daily road running · 10K through marathon","Alle Levels · tägliche Straßenläufe · 10 km bis Marathon","Tous niveaux · course quotidienne sur route · 10 km au marathon","assets/shoes/mizuno--wave-rider-29.webp"
"MIZUNO","Wave Ultima 17","DAILY TRAINER","MAX CUSHION","Road","Neutral","12 mm","MIZUNO ENERZY NXT | MIZUNO WAVE | X10 rubber","Beginner to recreational · comfortable daily runs · longer road runs","Anfänger bis Hobby · komfortable tägliche Läufe · längere Straßenläufe","Débutant à loisir · sorties quotidiennes confortables · longues sorties route","assets/shoes/mizuno--wave-ultima-17.webp"
"MIZUNO","Wave Impulse","DAILY TRAINER","NEUTRAL","Road · firm paths","Neutral","8 mm","MIZUNO ENERZY | Foam Wave | Airmesh","Intermediate · road and firm light trails · sessions under 3 hours","Fortgeschrittene · Straße und feste leichte Trails · Einheiten unter 3 Stunden","Intermédiaire · route et chemins fermes faciles · séances de moins de 3 h","assets/shoes/mizuno--wave-impulse.webp"
"PUMA","Velocity Nitro 4","DAILY TRAINER","FAST TRAINING","Road","Neutral","10 mm","Full-length NITROFOAM | PUMAGRIP | PWRTAPE","All levels · daily road running · short through long distances","Alle Levels · tägliche Straßenläufe · kurze bis lange Distanzen","Tous niveaux · course quotidienne sur route · distances courtes à longues","assets/shoes/puma--velocity-nitro-4.webp"
"SAUCONY","Ride 19","DAILY TRAINER","Neutral","Road","Neutral","8 mm","PWRRUN+ | SRS sockliner | Engineered mesh","All levels · daily road runs · easy through longer sessions","Alle Levels · tägliche Straßenläufe · lockere bis längere Einheiten","Tous niveaux · sorties route quotidiennes · séances faciles à longues","assets/shoes/saucony--ride-19.webp"
"KIPRUN","Kipride","DAILY TRAINER","FAST TRAINING","Road","Neutral","6 mm","FASTECH | High energy return | Lightweight upper","All levels · daily training · easy through fast road runs","Alle Levels · tägliches Training · lockere bis schnelle Straßenläufe","Tous niveaux · entraînement quotidien · sorties route faciles à rapides","assets/shoes/kiprun--kipride.webp"
"NEW BALANCE","Ellipse","DAILY TRAINER","Neutral","Road","Neutral","8 mm","Fresh Foam X | Engineered mesh | Gusseted tongue","All levels · daily road runs · middle to longer distances","Alle Levels · tägliche Straßenläufe · mittlere bis längere Distanzen","Tous niveaux · sorties route quotidiennes · distances moyennes à longues","assets/shoes/new-balance--ellipse.webp"
"ASICS","Gel Nimbus 28","MAX CUSHION","DAILY TRAINER","Road","Neutral","8 mm","FF BLAST PLUS | PureGEL | HYBRID ASICSGRIP","All levels · easy daily runs · long road runs","Alle Levels · lockere tägliche Läufe · lange Straßenläufe","Tous niveaux · sorties quotidiennes faciles · longues sorties route","assets/shoes/asics--gel-nimbus-28.webp"
"BROOKS","Ghost Max 3","MAX CUSHION","DAILY TRAINER","Road","Neutral","6 mm","DNA LOFT v3 | GlideRoll Rocker | Broad base","All levels · long easy runs · walking and orthotics","Alle Levels · lange lockere Läufe · Walking und Einlagen","Tous niveaux · longues sorties faciles · marche et semelles","assets/shoes/brooks--ghost-max-3.webp"
"BROOKS","Ghost Max 4","MAX CUSHION","DAILY TRAINER","Road","Neutral","6 mm","DNA LOFT v3 | GlideRoll Rocker | Broad base","All levels · long easy runs · walking and orthotics","Alle Levels · lange lockere Läufe · Walking und Einlagen","Tous niveaux · longues sorties faciles · marche et semelles","assets/shoes/brooks--ghost-max-4.webp"
"BROOKS","Glycerin 23","MAX CUSHION","DAILY TRAINER","Road","Neutral","8 mm","DNA TUNED | Engineered knit | Broad platform","All levels · comfortable daily runs · long easy runs","Alle Levels · tägliche Komfortläufe · lange ruhige Läufe","Tous niveaux · sorties quotidiennes confortables · longues sorties faciles","assets/shoes/brooks--glycerin-23.webp"
"KIPRUN","Kipride Max","MAX CUSHION","DAILY TRAINER","Road","Neutral","6 mm","SOFTECH+ | 69% energy return | Fitting Sniper","All levels · long easy runs · maximum road cushioning","Alle Levels · lange ruhige Läufe · maximale Straßendämpfung","Tous niveaux · sorties longues faciles · amorti route maximal","assets/shoes/kiprun--kipride-max.webp"
"KIPRUN","Kipride Max Wide","MAX CUSHION","DAILY TRAINER","Road","Neutral","6 mm","","All levels · wide feet · Daily running · 42 km","Alle Levels · breite Füße · Tägliches Training · 42 km","Tous niveaux · pieds larges · Course quotidienne · 42 km","assets/shoes/kiprun--kipride-max-wide.webp"
"NEW BALANCE","1080 v15","MAX CUSHION","DAILY TRAINER","Road","Neutral","6 mm","INFINION foam | Dual-layer mesh | Durable rubber outsole","All levels · comfortable daily runs · long road runs","Alle Levels · komfortable tägliche Läufe · lange Straßenläufe","Tous niveaux · sorties quotidiennes confortables · longues sorties route","assets/shoes/new-balance--1080-v15.webp"
"NEW BALANCE","More v6","MAX CUSHION","DAILY TRAINER","Road","Neutral","4 mm","Fresh Foam X | Seamless mesh | Ndurance rubber","All levels · maximum-cushion daily runs · half marathon through marathon","Alle Levels · maximal gedämpfte tägliche Läufe · Halbmarathon bis Marathon","Tous niveaux · sorties quotidiennes très amorties · semi-marathon à marathon","assets/shoes/new-balance--more-v6.webp"
"NEW BALANCE","Kaiha v2","MAX CUSHION","DAILY TRAINER","Road","Neutral","4 mm","Fresh Foam X | Seamless mesh | Reinforced heel","All levels · comfortable daily road runs · through half marathon","Alle Levels · komfortable tägliche Straßenläufe · bis Halbmarathon","Tous niveaux · sorties route quotidiennes confortables · jusqu'au semi-marathon","assets/shoes/new-balance--kaiha-v2.webp"
"ADIDAS","Adistar 5","MAX CUSHION","DAILY TRAINER","Road","Neutral","6 mm","Dreamstrike foam | Distance Last | Internal fit panel","All levels · long easy road runs · high mileage through marathon","Alle Levels · lange ruhige Straßenläufe · hohe Umfänge bis Marathon","Tous niveaux · longues sorties faciles · gros volume jusqu’au marathon","assets/shoes/adidas--adistar-5.webp"
"ASICS","Gel Superion 8","Stability & guidance","DAILY TRAINER","Road","Stability shoe","10 mm","FF BLAST PLUS ECO | PureGEL | 4D GUIDANCE SYSTEM","All levels · stable daily road runs · middle to long distance","Alle Levels · stabile tägliche Straßenläufe · Mittel- bis Langstrecke","Tous niveaux · sorties stables sur route · moyenne à longue distance","assets/shoes/asics--gel-superion-8.webp"
"ASICS","GT-2000 13","Stability & guidance","DAILY TRAINER","Road","Stability shoe","8 mm","3D GUIDANCE SYSTEM | FF BLAST PLUS | PureGEL","All levels · stable daily road runs · short to long distances","Alle Levels · stabile tägliche Straßenläufe · kurze bis lange Distanzen","Tous niveaux · sorties stables sur route · courtes à longues distances","assets/shoes/asics--gt-2000-13.webp"
"ASICS","Gel Kayano 32","Stability & guidance","DAILY TRAINER","Road","Stability shoe","8 mm","4D GUIDANCE SYSTEM | FF BLAST PLUS | PureGEL","All levels · stable daily road runs · long distances","Alle Levels · stabile tägliche Straßenläufe · lange Distanzen","Tous niveaux · sorties quotidiennes stables · longues distances","assets/shoes/asics--gel-kayano-32.webp"
"ASICS","Gel Kayano 33","Stability & guidance","DAILY TRAINER","Road","Stability shoe","8 mm","FLUIDSUPPORT | FF BLAST MAX | FF BLAST PLUS","All levels · softly guided daily runs · long road runs","Alle Levels · weich geführte tägliche Läufe · lange Straßenläufe","Tous niveaux · sorties quotidiennes guidées · longues sorties route","assets/shoes/asics--gel-kayano-33.webp"
"ASICS","Gel Roadmiles 4","Stability & guidance","DAILY TRAINER","Road","Stability shoe","8 mm","FF BLAST MAX | PureGEL | 3D GUIDANCE SYSTEM","All levels · stable daily road runs · 1 km to half marathon","Alle Levels · stabile tägliche Straßenläufe · 1 km bis Halbmarathon","Tous niveaux · sorties stables sur route · 1 km au semi-marathon","assets/shoes/asics--gel-roadmiles-4.webp"
"BROOKS","Adrenaline GTS 25","Stability & guidance","DAILY TRAINER","Road","Stability shoe","10 mm","DNA LOFT v3 | GuideRails | Structured mesh","All levels · daily runs · added guidance for overpronation","Alle Levels · tägliche Läufe · zusätzliche Führung bei Überpronation","Tous niveaux · sorties quotidiennes · guidage accru pour la surpronation","assets/shoes/brooks--adrenaline-gts-25.webp"
"SAUCONY","Guide 19","Stability & guidance","MAX CUSHION","Road","Stability shoe","6 mm","PWRRUN | CenterPath | SRS sockliner","All levels · daily road runs · added stable guidance","Alle Levels · tägliche Straßenläufe · zusätzliche stabile Führung","Tous niveaux · sorties route quotidiennes · guidage stable renforcé","assets/shoes/saucony--guide-19.webp"
"NEW BALANCE","840 v1","MAX CUSHION","DAILY TRAINER","Road","Neutral","4 mm","Fresh Foam X | Ventilated upper | Flex grooves","Intermediate · comfortable long road runs · half marathon through marathon","Fortgeschrittene · komfortable lange Straßenläufe · Halbmarathon bis Marathon","Intermédiaire · longues sorties route confortables · semi-marathon à marathon","assets/shoes/new-balance--840-v1.webp"
"KIPRUN","Kipride Support","Stability & guidance","Support","Road","Stability shoe","6 mm","","All levels · overpronation · Guided daily running · 42 km","Alle Levels · Überpronation · Geführtes Alltagstraining · 42 km","Tous niveaux · pronation · Entraînement quotidien guidé · 42 km","assets/shoes/kiprun--kipride-support.webp"
"KIPRUN","Kipstorm Tempo","FAST TRAINING","FAST TRAINING","Road","Neutral","8 mm","FASTECH+ | CMEVA | Dual-density midsole","Recreational & competitive · tempo runs · long fast sessions","Freizeit & Wettkampf · Tempoläufe · lange schnelle Einheiten","Loisir et compétition · tempo · longues séances rapides","assets/shoes/kiprun--kipstorm-tempo.webp"
"KIPRUN","Kipnext","DAILY TRAINER","Neutral","Road","Neutral","6 mm","AZOTECH | Direct-foamed TPU | Glue-free sole","Beginner & recreational · daily road runs · 1–10 km","Anfänger & Freizeit · tägliche Straßenläufe · 1–10 km","Débutant et loisir · sorties route quotidiennes · 1–10 km","assets/shoes/kiprun--kipnext.webp"
"KIPRUN","Kipstorm Challenger","RACE","Carbon","Road","Neutral","8 mm","FASTECH+ | Carbon plate | 40 mm heel stack","Recreational & competitive · speed training · half marathon and marathon","Freizeit & Wettkampf · Tempotraining · Halbmarathon und Marathon","Loisir et compétition · entraînement rapide · semi-marathon et marathon","assets/shoes/kiprun--kipstorm-challenger.webp"
"KIPRUN","Kipstorm Interval","FAST TRAINING","FAST TRAINING","Road","Neutral","6 mm","FASTECH+ | Minimal mesh upper | Rubber outsole","Recreational & competitive · intervals · short fast road sessions","Freizeit & Wettkampf · Intervalle · kurze schnelle Straßeneinheiten","Loisir et compétition · intervalles · séances route courtes et rapides","assets/shoes/kiprun--kipstorm-interval.webp"
"KIPRUN","Kipstorm Pro","RACE","Carbon","Road","Neutral","4 mm","FASTECH+ | Carbon plate | Marathon cushioning","Competitive & elite · half marathon · marathon","Wettkampf & Elite · Halbmarathon · Marathon","Compétition et élite · semi-marathon · marathon","assets/shoes/kiprun--kipstorm-pro.webp"
"KIPRUN","Kipstorm Elite","RACE","Carbon","Road","Neutral","5 mm","FASTECH+ | Carbon plate | 3D knit upper","Competitive & elite · race day · half marathon and marathon","Wettkampf & Elite · Race Day · Halbmarathon und Marathon","Compétition et élite · jour de course · semi-marathon et marathon","assets/shoes/kiprun--kipstorm-elite.webp"
"KIPRUN","Kipstorm Lab","RACE","Carbon","Road","Neutral","4 mm","Hook Plate | VFOAM X | Fluid Foam","Elite · 5K through half marathon · maximum race-day performance","Elite · 5 km bis Halbmarathon · maximale Race-Day-Performance","Élite · 5 km au semi-marathon · performance maximale le jour de course","assets/shoes/kiprun--kipstorm-lab.webp"
"ADIDAS","Adizero Boston 13","SUPER TRAINER","FAST TRAINING","Road","Neutral","6 mm","LIGHTSTRIKE PRO | LIGHTSTRIKE | ENERGYRODS 2.0","Recreational & competitive · tempo and long fast runs · marathon training","Freizeit- & Wettkampfläufer · Tempo und lange schnelle Läufe · Marathontraining","Loisir et compétition · tempo et longues sorties rapides · préparation marathon","assets/shoes/adidas--adizero-boston-13.webp"
"ADIDAS","Adizero Evo SL","FAST TRAINING","FAST TRAINING","Road","Neutral","6 mm","LIGHTSTRIKE PRO | Lightweight mesh | Continental™ forefoot","Recreational & competitive · fast training · 10 km to marathon","Freizeit- & Wettkampfläufer · schnelle Trainingsläufe · 10 km bis Marathon","Loisir et compétition · entraînement rapide · 10 km au marathon","assets/shoes/adidas--adizero-evo-sl.webp"
"BROOKS","Hyperion 3","FAST TRAINING","RACE","Road","Neutral","8 mm","DNA FLASH v2 | Lightweight mesh | Road rubber","Recreational to competitive · tempo runs · intervals and gym","Hobby bis Wettkampf · Tempoläufe · Intervalle und Fitness","Loisir à compétition · tempo · intervalles et salle","assets/shoes/brooks--hyperion-3.webp"
"MIZUNO","Neo Zen 2","FAST TRAINING","DAILY TRAINER","Road","Neutral","6 mm","MIZUNO ENERZY NXT | Smooth Speed Assist | Mesh-knit upper","Recreational to competitive · dynamic daily runs · jogging through tempo","Hobby bis Wettkampf · dynamische tägliche Läufe · Jogging bis Tempo","Loisir à compétition · sorties quotidiennes dynamiques · jogging au tempo","assets/shoes/mizuno--neo-zen-2.webp"
"MIZUNO","Neo Cosmo","FAST TRAINING","DAILY TRAINER","Road","Neutral","6 mm","MIZUNO ENERZY NXT | Smooth Speed Assist | X10 rubber","Recreational to competitive · efficient daily runs · short to middle distances","Hobby bis Wettkampf · effiziente tägliche Läufe · kurze bis mittlere Distanzen","Loisir à compétition · sorties quotidiennes efficaces · distances courtes à moyennes","assets/shoes/mizuno--neo-cosmo.webp"
"PUMA","Deviate Nitro 4","SUPER TRAINER","Carbon","Road","Neutral","8 mm","NITROFOAM | Carbon PWRPLATE | PUMAGRIP","Recreational to competitive · tempo and intervals · 10K through marathon","Hobby bis Wettkampf · Tempo und Intervalle · 10 km bis Marathon","Loisir à compétition · tempo et intervalles · 10 km au marathon","assets/shoes/puma--deviate-nitro-4.webp"
"NEW BALANCE","FuelCell Rebel v5","FAST TRAINING","DAILY TRAINER","Road","Neutral","6 mm","PEBA/EVA FuelCell | FantomFit | Engineered mesh","Advanced · fast daily runs · intervals through half marathon","Fortgeschrittene · schnelle tägliche Läufe · Intervalle bis Halbmarathon","Confirmé · sorties quotidiennes rapides · intervalles au semi-marathon","assets/shoes/new-balance--fuelcell-rebel-v5.webp"
"NEW BALANCE","FuelCell Propel v5","FAST TRAINING","DAILY TRAINER","Road","Neutral","6 mm","FuelCell | TPU plate | Seamless upper","Advanced · dynamic daily training · 10K through marathon","Fortgeschrittene · dynamisches tägliches Training · 10 km bis Marathon","Confirmé · entraînement quotidien dynamique · 10 km au marathon","assets/shoes/new-balance--fuelcell-propel-v5.webp"
"KIPRUN","Kipcore Gravel","TRAIL","DAILY TRAINER","Trail","Neutral","8 mm","SOFTECH | 3 mm lugs | Engineered Circular Knit","Beginner & recreational · road and easy trails · daily runs","Anfänger & Freizeit · Straße und einfache Wege · tägliche Läufe","Débutant et loisir · route et chemins faciles · sorties quotidiennes","assets/shoes/kiprun--kipcore-gravel.webp"
"KIPRUN","Kipcore WR","DAILY TRAINER","Neutral","Road","Neutral","8 mm","SOFTECH | Water-repellent upper | Wet-road grip","Beginner & recreational · wet roads · daily autumn and winter runs","Anfänger & Freizeit · nasse Straßen · tägliche Herbst- und Winterläufe","Débutant et loisir · routes humides · sorties quotidiennes en automne et hiver","assets/shoes/kiprun--kipcore-wr.webp"
"KIPRUN","Kipride Gravel","TRAIL","FAST TRAINING","Trail","Neutral","–","FASTECH | 3 mm lugs | Reinforced upper","All levels · road and gravel · easy through faster mixed-surface runs","Alle Levels · Straße und Gravel · lockere bis zügige Mischläufe","Tous niveaux · route et gravel · sorties mixtes faciles à rapides","assets/shoes/kiprun--kipride-gravel.webp"
"KIPRUN","Kipride WR","DAILY TRAINER","NEUTRAL","Road","Neutral","6 mm","","All levels · water-repellent road running · wet-weather daily training · 42 km","Alle Levels · wasserabweisendes Straßentraining · tägliches Training bei Nässe · 42 km","Tous niveaux · course sur route déperlante · entraînement quotidien par temps humide · 42 km","assets/shoes/kiprun--kipride-wr.webp"
"KIPRUN","Kipsummit","TRAIL","Technical Trail","Trail","Neutral","6 mm","SOFTECH | 4 mm lugs | Toe protection","All levels · varied trails · short through long off-road runs","Alle Levels · vielseitige Trails · kurze bis lange Geländeläufe","Tous niveaux · trails variés · sorties courtes à longues","assets/shoes/kiprun--kipsummit.webp"
"KIPRUN","Kipsummit WP","TRAIL","Technical Trail","Trail","Neutral","6 mm","Waterproof membrane | SOFTECH | 4 mm lugs","All levels · wet and cold trails · varied off-road runs","Alle Levels · nasse und kalte Trails · vielseitige Geländeläufe","Tous niveaux · trails humides et froids · sorties tout-terrain variées","assets/shoes/kiprun--kipsummit-wp.webp"
"KIPRUN","Kipsummit Max","TRAIL","Technical Trail","Trail","Neutral","6 mm","FASTECH+ SCF | Vibram Megagrip | 4 mm lugs","All levels · long technical trails · ultra distances","Alle Levels · lange technische Trails · Ultra-Distanzen","Tous niveaux · longs trails techniques · ultra-distances","assets/shoes/kiprun--kipsummit-max.webp"
"KIPRUN","Kipclimb","TRAIL","Technical Trail","Trail","Neutral","6 mm","SHIFTECH+ | 5 mm lugs | Toe protection","All levels · technical steep trails · short through long mountain runs","Alle Levels · technische steile Trails · kurze bis lange Bergläufe","Tous niveaux · trails techniques et raides · sorties montagne courtes à longues","assets/shoes/kiprun--kipclimb.webp"
"KIPRUN","Kipclimb WP","TRAIL","Technical Trail","Trail","Neutral","6 mm","","Recreational to elite · Trail running · 42 km","Freizeit bis Elite · Trailrunning · 42 km","Loisir à élite · Trail · 42 km","assets/shoes/kiprun--kipclimb-wp.webp"
"KIPRUN","Kipclimb Max","TRAIL","Technical Trail","Trail","Neutral","4 mm","SHIFTECH+ | FASTECH insert | MATRYX upper","All levels · long technical mountain trails · maximum protection and comfort","Alle Levels · lange technische Bergtrails · maximaler Schutz und Komfort","Tous niveaux · longs trails montagne techniques · protection et confort maximaux","assets/shoes/kiprun--kipclimb-max.webp"
"KIPRUN","Kipstorm Challenger Gravel","TRAIL","Technical Trail","Trail","Neutral","8 mm","","Recreational to elite · Trail racing · 42 km","Freizeit bis Elite · Trail-Wettkampf · 42 km","Loisir à élite · Compétition trail · 42 km","assets/shoes/kiprun--kipstorm-challenger-gravel.webp"
"KIPRUN","Kipstorm Pro Gravel","TRAIL","Technical Trail","Trail","Neutral","5 mm","","Competitive & elite · Trail racing · 21 km","Wettkampf & Elite · Trail-Wettkampf · 21 km","Compétition et élite · Compétition trail · 21 km","assets/shoes/kiprun--kipstorm-pro-gravel.webp"
"KIPRUN","Kipsummit Race","TRAIL RACE","Carbon","Trail","Neutral","6 mm","FASTECH+ ATPU | Patented carbon plate | Vibram Megagrip Litebase","Competitive & elite · long trail races · ultra distances","Wettkampf & Elite · lange Trail-Rennen · Ultra-Distanzen","Compétition et élite · longues courses trail · ultra-distances","assets/shoes/kiprun--kipsummit-race.webp"
"KIPRUN","Kipclimb Race","TRAIL RACE","Technical Trail","Trail","Neutral","4 mm","","Competitive & elite · Trail racing · 170 km","Wettkampf & Elite · Trail-Wettkampf · 170 km","Compétition et élite · Compétition trail · 170 km","assets/shoes/kiprun--kipclimb-race.webp"
"HOKA","Torrent 4","TRAIL","Technical Trail","Trail","Neutral","5 mm","Responsive EVA | Early MetaRocker | Active Foot Frame","All levels · daily trails · mixed to rugged terrain","Alle Levels · tägliche Trails · gemischtes bis unwegsames Gelände","Tous niveaux · trail quotidien · terrains mixtes à accidentés","assets/shoes/hoka--torrent-4.webp"
